COUNTY,State,County2,Population,Count
37,California,Los Angeles,10039107,98
,New York,New York City,8336817,63
31,Illinois,Cook,5150233,100
201,Texas,Harris,4713325,59
13,Arizona,Maricopa,4485414,98
73,California,San Diego,3338330,83
59,California,Orange,3175692,99
86,Florida,Miami-Dade,2716940,53
113,Texas,Dallas,2635516,54
65,California,Riverside,2470546,57
3,Nevada,Clark,2266715,59
33,Washington,King,2252782,65
71,California,San Bernardino,2180085,49
439,Texas,Tarrant,2102515,54
29,Texas,Bexar,2003554,81
11,Florida,Broward,1952778,58
85,California,Santa Clara,1927852,93
163,Michigan,Wayne,1749343,54
1,California,Alameda,1671329,63
17,Massachusetts,Middlesex,1611699,59
101,Pennsylvania,Philadelphia,1584064,54
67,California,Sacramento,1552058,72
99,Florida,Palm Beach,1496770,52
103,New York,Suffolk,1476601,56
57,Florida,Hillsborough,1471968,63
95,Florida,Orange,1393452,51
59,New York,Nassau,1356924,59
49,Ohio,Franklin,1316756,50
453,Texas,Travis,1273954,51
53,Minnesota,Hennepin,1265843,52
125,Michigan,Oakland,1257584,54
35,Ohio,Cuyahoga,1235072,55
3,Pennsylvania,Allegheny,1216045,50
35,Utah,Salt Lake,1160437,68
13,California,Contra Costa,1153526,61
59,Virginia,Fairfax,1147532,57
183,North Carolina,Wake,1111761,61
119,North Carolina,Mecklenburg,1110356,52
121,Georgia,Fulton,1063937,62
1,Rhode Island,Unknown,1059361,63
31,Maryland,Montgomery,1050688,59
19,Arizona,Pima,1047279,55
85,Texas,Collin,1034730,55
19,California,Fresno,999101,57
189,Missouri,St. Louis,994205,57
103,Florida,Pinellas,974996,54
3,Hawaii,Honolulu,974563,58
119,New York,Westchester,967506,60
97,Indiana,Marion,964582,58
31,Florida,Duval,957755,52
79,Wisconsin,Milwaukee,945726,51
1,Connecticut,Fairfield,943332,56
157,Tennessee,Shelby,937166,56
135,Georgia,Gwinnett,936250,57
3,New Jersey,Bergen,932202,60
43,Illinois,DuPage,922921,50
29,New York,Erie,918702,49
33,Maryland,Prince George's,909327,55
53,Washington,Pierce,904980,58
29,California,Kern,900202,47
3,Connecticut,Hartford,891720,50
121,Texas,Denton,887207,49
75,California,San Francisco,881549,91
99,Michigan,Macomb,873972,51
215,Texas,Hidalgo,868707,40
9,Connecticut,New Haven,854757,50
111,California,Ventura,846006,54
141,Texas,El Paso,839238,51
91,Pennsylvania,Montgomery,830915,57
27,Massachusetts,Worcester,830622,56
5,Maryland,Baltimore,827370,53
23,New Jersey,Middlesex,825062,53
61,Washington,Snohomish,822083,103
61,Ohio,Hamilton,817473,45
51,Oregon,Multnomah,812855,54
157,Texas,Fort Bend,811688,60
25,Massachusetts,Suffolk,803907,92
13,New Jersey,Essex,798975,52
109,Oklahoma,Oklahoma,797434,51
9,Massachusetts,Essex,789034,54
71,Florida,Lee,770577,58
111,Kentucky,Jefferson,766757,56
81,California,San Mateo,766573,62
77,California,San Joaquin,762148,54
67,Georgia,Cobb,760141,57
89,Georgia,DeKalb,759297,55
55,New York,Monroe,741770,53
31,Colorado,Denver,727211,58
105,Florida,Polk,724777,47
41,Colorado,El Paso,720403,58
21,Massachusetts,Norfolk,706775,62
1,District of Columbia,District of Columbia,705749,57
95,Missouri,Jackson,703011,47
97,Illinois,Lake,696535,53
37,Tennessee,Davidson,694144,56
197,Illinois,Will,690743,48
1,New Mexico,Bernalillo,679121,53
17,New Jersey,Hudson,672391,55
73,Alabama,Jefferson,658573,51
81,Michigan,Kent,656955,52
5,Colorado,Arapahoe,656590,55
143,Oklahoma,Tulsa,651552,58
49,Utah,Utah,636235,49
17,Pennsylvania,Bucks,628270,53
25,New Jersey,Monmouth,618795,55
339,Texas,Montgomery,607391,54
29,New Jersey,Ocean,607186,51
91,Kansas,Johnson,602401,57
9,Florida,Brevard,601942,47
67,Oregon,Washington,601592,65
